Date,Open,High,Low,Close,Adj Close,Daily % Return,Deviation from mean,Event,,
1/29/1986,209.81,212.36,209.81,210.29,210.29,0.23%,0.2%,,,
1/30/1986,210.29,211.54,209.15,209.33,209.33,-0.46%,-0.5%,,,
1/31/1986,209.33,212.42,209.19,211.78,211.78,1.17%,1.1%,,,
2/3/1986,211.78,214.18,211.60,213.96,213.96,1.03%,1.0%,,,
2/4/1986,213.96,214.57,210.82,212.79,212.79,-0.55%,-0.6%,,,
2/5/1986,212.84,213.03,211.21,212.96,212.96,0.08%,0.0%,,,
2/6/1986,212.96,214.51,212.60,213.47,213.47,0.24%,0.2%,,,
2/7/1986,213.47,215.27,211.13,214.56,214.56,0.51%,0.5%,,,
2/10/1986,214.56,216.24,214.47,216.24,216.24,0.78%,0.7%,,,
2/11/1986,216.24,216.67,215.54,215.92,215.92,-0.15%,-0.2%,,,
2/12/1986,215.92,216.28,215.13,215.97,215.97,0.02%,0.0%,,,
2/13/1986,215.97,217.41,215.38,217.40,217.40,0.66%,0.6%,,,
2/14/1986,217.40,219.76,217.22,219.76,219.76,1.09%,1.1%,,,
2/18/1986,219.76,222.45,219.26,222.45,222.45,1.22%,1.2%,,,
2/19/1986,222.45,222.96,219.73,219.76,219.76,-1.21%,-1.2%,,,
2/20/1986,219.76,222.22,219.22,222.22,222.22,1.12%,1.1%,,,
2/21/1986,222.22,224.62,222.22,224.62,224.62,1.08%,1.0%,,,
2/24/1986,224.58,225.29,223.31,224.34,224.34,-0.12%,-0.2%,,,
2/25/1986,224.34,224.40,222.63,223.79,223.79,-0.25%,-0.3%,,,
2/26/1986,223.72,224.59,223.15,224.04,224.04,0.11%,0.1%,,,
2/27/1986,224.04,226.88,223.41,226.77,226.77,1.22%,1.2%,,,
2/28/1986,226.77,227.92,225.42,226.92,226.92,0.07%,0.0%,,,
3/3/1986,226.92,226.92,224.41,225.42,225.42,-0.66%,-0.7%,,,
3/4/1986,225.42,227.33,223.94,224.38,224.38,-0.46%,-0.5%,,,
3/5/1986,224.14,224.37,222.18,224.34,224.34,-0.02%,-0.1%,,,
3/6/1986,224.39,225.50,224.13,225.13,225.13,0.35%,0.3%,,,
3/7/1986,225.13,226.33,224.44,225.57,225.57,0.20%,0.2%,,,
3/10/1986,225.57,226.98,225.36,226.58,226.58,0.45%,0.4%,,,
3/11/1986,226.58,231.81,226.58,231.69,231.69,2.26%,2.2%,,,
3/12/1986,231.69,234.70,231.68,232.54,232.54,0.37%,0.3%,,,
3/13/1986,232.54,233.89,231.27,233.19,233.19,0.28%,0.2%,,,
3/14/1986,233.19,236.55,232.58,236.55,236.55,1.44%,1.4%,,,
3/17/1986,236.55,236.55,233.69,234.67,234.67,-0.79%,-0.8%,,,
3/18/1986,234.67,236.52,234.14,235.78,235.78,0.47%,0.4%,,,
3/19/1986,235.78,236.52,235.13,235.60,235.60,-0.08%,-0.1%,,,
3/20/1986,235.60,237.09,235.60,236.54,236.54,0.40%,0.4%,,,
3/21/1986,236.54,237.35,233.29,233.34,233.34,-1.35%,-1.4%,,,
3/24/1986,233.34,235.33,232.92,235.33,235.33,0.85%,0.8%,,,
3/25/1986,235.33,235.33,233.62,234.72,234.72,-0.26%,-0.3%,,,
3/26/1986,234.72,237.79,234.71,237.30,237.30,1.10%,1.1%,,,
3/27/1986,237.30,240.11,237.30,238.97,238.97,0.70%,0.7%,,,
3/31/1986,238.97,239.86,238.08,238.90,238.90,-0.03%,-0.1%,,,
4/1/1986,238.90,239.10,234.57,235.14,235.14,-1.57%,-1.6%,,,
4/2/1986,235.14,235.71,233.40,235.71,235.71,0.24%,0.2%,,,
4/3/1986,235.71,236.42,232.07,232.47,232.47,-1.37%,-1.4%,,,
4/4/1986,232.47,232.56,228.32,228.69,228.69,-1.63%,-1.7%,,,
4/7/1986,228.69,228.83,226.30,228.63,228.63,-0.03%,-0.1%,,,
4/8/1986,228.63,233.70,228.63,233.52,233.52,2.14%,2.1%,,,
4/9/1986,233.52,235.57,232.13,233.75,233.75,0.10%,0.1%,,,
4/10/1986,233.75,236.54,233.75,236.44,236.44,1.15%,1.1%,,,
4/11/1986,236.44,237.85,235.13,235.97,235.97,-0.20%,-0.2%,,,
4/14/1986,235.97,237.48,235.43,237.28,237.28,0.56%,0.5%,,,
4/15/1986,237.28,238.09,236.64,237.73,237.73,0.19%,0.2%,,,
4/16/1986,237.73,242.57,237.73,242.22,242.22,1.89%,1.9%,,,
4/17/1986,242.22,243.36,241.89,243.03,243.03,0.33%,0.3%,,,
4/18/1986,243.03,243.47,241.74,242.38,242.38,-0.27%,-0.3%,,,
4/21/1986,242.38,244.78,241.88,244.74,244.74,0.97%,0.9%,,,
4/22/1986,244.74,245.47,241.30,242.42,242.42,-0.95%,-1.0%,,,
4/23/1986,242.42,242.42,240.08,241.75,241.75,-0.28%,-0.3%,,,
4/24/1986,241.75,243.13,241.65,242.02,242.02,0.11%,0.1%,,,
4/25/1986,242.02,242.80,240.91,242.29,242.29,0.11%,0.1%,,,
4/28/1986,242.29,243.08,241.23,243.08,243.08,0.33%,0.3%,,,
4/29/1986,243.08,243.57,239.23,240.51,240.51,-1.06%,-1.1%,,,
4/30/1986,240.52,240.52,235.26,235.52,235.52,-2.07%,-2.1%,,,
5/1/1986,235.52,236.01,234.21,235.16,235.16,-0.15%,-0.2%,,,
5/2/1986,235.16,236.52,234.15,234.79,234.79,-0.16%,-0.2%,,,
5/5/1986,234.79,237.73,234.79,237.73,237.73,1.25%,1.2%,,,
5/6/1986,237.73,238.28,236.26,237.24,237.24,-0.21%,-0.2%,,,
5/7/1986,236.56,237.24,233.98,236.08,236.08,-0.49%,-0.5%,,,
5/8/1986,236.08,237.96,236.08,237.13,237.13,0.44%,0.4%,,,
5/9/1986,237.13,238.01,235.85,237.85,237.85,0.30%,0.3%,,,
5/12/1986,237.85,238.53,237.02,237.58,237.58,-0.11%,-0.1%,,,
5/13/1986,237.58,237.87,236.02,236.41,236.41,-0.49%,-0.5%,,,
5/14/1986,236.41,237.54,235.85,237.54,237.54,0.48%,0.4%,,,
5/15/1986,237.54,237.54,233.93,234.43,234.43,-1.31%,-1.3%,,,
5/16/1986,234.43,234.43,232.26,232.76,232.76,-0.71%,-0.7%,,,
5/19/1986,232.76,233.54,232.41,233.20,233.20,0.19%,0.2%,,,
5/20/1986,233.20,236.12,232.58,236.11,236.11,1.25%,1.2%,,,
5/21/1986,236.11,236.83,235.45,235.45,235.45,-0.28%,-0.3%,,,
5/22/1986,235.45,240.25,235.45,240.12,240.12,1.98%,1.9%,,,
5/23/1986,240.12,242.16,240.12,241.35,241.35,0.51%,0.5%,,,
5/27/1986,241.35,244.76,241.35,244.75,244.75,1.41%,1.4%,,,
5/28/1986,244.75,247.40,244.75,246.63,246.63,0.77%,0.7%,,,
5/29/1986,246.63,248.32,245.29,247.98,247.98,0.55%,0.5%,,,
5/30/1986,247.98,249.19,246.43,247.35,247.35,-0.25%,-0.3%,,,
6/2/1986,246.04,247.74,243.83,245.04,245.04,-0.93%,-1.0%,,,
6/3/1986,245.04,245.51,243.67,245.51,245.51,0.19%,0.2%,,,
6/4/1986,245.51,246.30,242.59,243.94,243.94,-0.64%,-0.7%,,,
6/5/1986,243.94,245.66,243.41,245.65,245.65,0.70%,0.7%,,,
6/6/1986,245.65,246.07,244.43,245.67,245.67,0.01%,0.0%,,,
6/9/1986,245.67,245.67,239.68,239.96,239.96,-2.32%,-2.4%,,,
6/10/1986,239.96,240.08,238.23,239.58,239.58,-0.16%,-0.2%,,,
6/11/1986,239.58,241.13,239.21,241.13,241.13,0.65%,0.6%,,,
6/12/1986,241.24,241.64,240.70,241.49,241.49,0.15%,0.1%,,,
6/13/1986,241.71,245.91,241.71,245.73,245.73,1.76%,1.7%,,,
6/16/1986,245.73,246.50,245.17,246.13,246.13,0.16%,0.1%,,,
6/17/1986,246.13,246.26,243.60,244.35,244.35,-0.72%,-0.8%,,,
6/18/1986,244.35,245.25,242.57,244.99,244.99,0.26%,0.2%,,,
6/19/1986,244.99,245.80,244.05,244.06,244.06,-0.38%,-0.4%,,,
